binarize,average,distribution,sample_size,stat,pvalue
True,True,equal,10.0,-0.15249857033260453,0.9031
True,True,equal,10.0,-0.12494802614637525,1.0
True,True,equal,10.0,-0.13093073414159512,0.7707
True,True,equal,10.0,0.35355339059327356,0.0526
True,True,equal,10.0,0.05803810000880112,0.32
True,True,equal,10.0,0.03730019232961271,0.2927
True,True,equal,10.0,-0.057142857142857065,0.651
True,True,equal,10.0,0.4427188724235724,0.0466
True,True,equal,10.0,-0.07254762501100169,0.8033
True,True,equal,10.0,-0.051987524491003544,0.3916
True,True,equal,10.0,-0.21009029257555592,0.9409
True,True,equal,10.0,-0.06592685147442631,0.4968
True,True,equal,10.0,1.34005884762959e-16,0.2312
True,True,equal,10.0,-0.09999999999999988,0.4592
True,True,equal,10.0,0.40236455261563586,0.0439
True,True,equal,10.0,-0.15118578920369058,0.6217
True,True,equal,10.0,-0.01754116038614069,0.7194
True,True,equal,10.0,0.37453167102761714,0.0449
True,True,equal,10.0,-0.07559289460184519,0.2189
True,True,equal,10.0,-0.04859653913846298,0.5532
True,True,equal,10.0,-0.06614378277661472,0.5397
True,True,equal,10.0,0.02229112850301408,0.2932
True,True,equal,10.0,0.2618614682831904,0.1439
True,True,equal,10.0,-0.01348399724926486,0.4311
True,True,equal,10.0,0.18516401995451004,0.2587
True,True,equal,10.0,0.2443388887126099,0.1424
True,True,equal,10.0,0.31235807588017833,0.1195
True,True,equal,10.0,-0.07385489458759954,0.5994
True,True,equal,10.0,-2.72554341890764e-17,0.3918
True,True,equal,10.0,0.01643989873053575,0.2792
True,True,equal,10.0,0.05803810000880072,0.4335
True,True,equal,10.0,0.1886238250286028,0.1441
True,True,equal,10.0,-0.07559289460184548,0.8244
True,True,equal,10.0,-0.1692307692307689,0.9036
True,True,equal,10.0,7.268115783753706e-17,0.311
True,True,equal,10.0,0.3326528141123143,0.0334
True,True,equal,10.0,-0.09111469032188405,0.804
True,True,equal,10.0,-0.16159243711377339,0.8531
True,True,equal,10.0,-0.05029556907695366,0.3878
True,True,equal,10.0,-0.13055067315364377,0.8106
True,True,equal,10.0,-0.12649110640673508,0.7764
True,True,equal,10.0,-0.04662524041201488,0.3914
True,True,equal,10.0,-1.680751774993045e-16,0.5622
True,True,equal,10.0,-0.013483997249265208,0.4891
True,True,equal,10.0,0.38839672750580667,0.0514
True,True,equal,10.0,-0.18898223650461346,0.8547
True,True,equal,10.0,-0.157567719431667,0.7693
True,True,equal,10.0,-0.10504514628777797,0.9187
True,True,equal,10.0,0.2955245417853502,0.0935
True,True,equal,10.0,-0.16923076923076896,0.7221
True,True,same_mean,10.0,-0.14823713747586556,0.7725
True,True,same_mean,10.0,0.060745673923078634,0.2562
True,True,same_mean,10.0,0.07913267865219029,0.2716
True,True,same_mean,10.0,-0.04264014327112211,0.4746
True,True,same_mean,10.0,0.21640071232018354,0.1675
True,True,same_mean,10.0,-0.14285714285714265,0.7565
True,True,same_mean,10.0,0.2233761563293965,0.1001
True,True,same_mean,10.0,-0.13218518898774384,0.7493
True,True,same_mean,10.0,-2.2712861824230354e-18,0.3995
True,True,same_mean,10.0,0.016439898730535626,0.333
True,True,same_mean,10.0,-0.1632993161855451,0.9055
True,True,same_mean,10.0,0.016439898730535543,0.2126
True,True,same_mean,10.0,-0.14556506857480989,0.7502
True,True,same_mean,10.0,0.23094010767585038,0.0894
True,True,same_mean,10.0,1.8965239623232335e-16,0.2266
True,True,same_mean,10.0,0.10237813937779713,0.3671
True,True,same_mean,10.0,0.10999438818457394,0.2771
True,True,same_mean,10.0,0.010894694214057319,0.3027
True,True,same_mean,10.0,0.11428571428571385,0.1503
True,True,same_mean,10.0,-0.02260933675776793,0.2964
True,True,same_mean,10.0,-0.13093073414159528,0.8793
True,True,same_mean,10.0,-4.542572364846068e-17,0.4706
True,True,same_mean,10.0,-0.05792844463634926,0.6528
True,True,same_mean,10.0,-0.04681645887845219,0.4835
True,True,same_mean,10.0,-0.11146624001212448,0.6777
True,True,same_mean,10.0,0.3123475237772119,0.0867
True,True,same_mean,10.0,0.04061384660534443,0.5168
True,True,same_mean,10.0,0.29182751248828637,0.1322
True,True,same_mean,10.0,-0.10988845115895103,0.6087
True,True,same_mean,10.0,0.058823529411764205,0.218
True,True,same_mean,10.0,-0.08000000000000007,0.8944
True,True,same_mean,10.0,0.5230769230769228,0.0321
True,True,same_mean,10.0,0.1887759614897076,0.0968
True,True,same_mean,10.0,-0.017541160386140616,0.576
True,True,same_mean,10.0,-0.09607689228305216,0.3365
True,True,same_mean,10.0,-0.05198752449100368,0.5802
True,True,same_mean,10.0,-0.1511857892036907,0.749
True,True,same_mean,10.0,0.27255405754769824,0.1394
True,True,same_mean,10.0,0.755928946018454,0.0156
True,True,same_mean,10.0,-0.051987524491003564,0.4546
True,True,same_mean,10.0,-0.07126966450997989,0.6772
True,True,same_mean,10.0,0.26186146828319046,0.0865
True,True,same_mean,10.0,0.10606601717798192,0.2295
True,True,same_mean,10.0,-0.008795989942670767,0.4808
True,True,same_mean,10.0,-0.013088399820073803,0.3672
True,True,same_mean,10.0,0.37777777777777805,0.0321
True,True,same_mean,10.0,-0.09819080538903903,0.6848
True,True,same_mean,10.0,-0.04319593977248307,0.5153
True,True,same_mean,10.0,0.14732289664013357,0.1362
True,True,same_mean,10.0,-0.11704114719613044,0.7651
True,True,diff_mean,10.0,0.599208181773126,0.024
True,True,diff_mean,10.0,0.5838482921350608,0.0152
True,True,diff_mean,10.0,0.797724035217465,0.0081
True,True,diff_mean,10.0,0.6022133709957027,0.0239
True,True,diff_mean,10.0,0.5803810000880079,0.0301
True,True,diff_mean,10.0,0.1710372220988271,0.1709
True,True,diff_mean,10.0,0.2618614682831909,0.056
True,True,diff_mean,10.0,0.5937322507759794,0.0254
True,True,diff_mean,10.0,0.3909422219401762,0.0451
True,True,diff_mean,10.0,0.03980937143290165,0.2965
True,True,diff_mean,10.0,0.16970562748477114,0.1676
True,True,diff_mean,10.0,0.2890764905544968,0.0667
True,True,diff_mean,10.0,0.4823529411764702,0.0483
True,True,diff_mean,10.0,0.5015562968014748,0.0337
True,True,diff_mean,10.0,0.2891995221924882,0.0975
True,True,diff_mean,10.0,0.06286946134619305,0.2852
True,True,diff_mean,10.0,0.08386278693775412,0.1653
True,True,diff_mean,10.0,0.15902505062110103,0.1563
True,True,diff_mean,10.0,0.06803892089001001,0.2475
True,True,diff_mean,10.0,-0.08485281374238589,0.7722
True,True,diff_mean,10.0,0.6404640308067904,0.0068
True,True,diff_mean,10.0,-0.06246950475544262,0.6074
True,True,diff_mean,10.0,0.3011229636651243,0.0422
True,True,diff_mean,10.0,0.20254517131928826,0.1084
True,True,diff_mean,10.0,0.2134979984656465,0.1127
True,True,diff_mean,10.0,0.34785054261852183,0.0647
True,True,diff_mean,10.0,0.5937322507759791,0.0233
True,True,diff_mean,10.0,0.8315218406202987,0.0088
True,True,diff_mean,10.0,0.1612136709951609,0.141
True,True,diff_mean,10.0,0.8164965809277249,0.0085
True,True,diff_mean,10.0,0.21426226729188508,0.1137
True,True,diff_mean,10.0,0.5909734841224935,0.0248
True,True,diff_mean,10.0,0.32765926630501196,0.099
True,True,diff_mean,10.0,0.10355607461569927,0.3372
True,True,diff_mean,10.0,0.4410582434335847,0.0339
True,True,diff_mean,10.0,-0.16439898730535699,0.7615
True,True,diff_mean,10.0,-0.09999999999999988,0.6996
True,True,diff_mean,10.0,0.7926290870042665,0.009
True,True,diff_mean,10.0,0.6286946134619302,0.0246
True,True,diff_mean,10.0,0.185296421844832,0.0938
True,True,diff_mean,10.0,0.10237813937779834,0.1119
True,True,diff_mean,10.0,0.3613146867649611,0.0608
True,True,diff_mean,10.0,0.4951170013950462,0.019
True,True,diff_mean,10.0,0.16159243711377339,0.1393
True,True,diff_mean,10.0,0.4442926338616644,0.0387
True,True,diff_mean,10.0,0.5663521139548532,0.0235
True,True,diff_mean,10.0,0.1437417344846561,0.1728
True,True,diff_mean,10.0,0.14732289664013326,0.2699
True,True,diff_mean,10.0,0.7053098106038285,0.0151
True,True,diff_mean,10.0,0.1922693658003547,0.157
True,True,equal,20.0,-0.03651345724383261,0.5393
True,True,equal,20.0,-0.053758567499876155,0.771
True,True,equal,20.0,-0.06870184071989463,0.9167
True,True,equal,20.0,-0.01721065775078333,0.4792
True,True,equal,20.0,-0.009975868878539988,0.4818
True,True,equal,20.0,-0.06329238442281904,0.8985
True,True,equal,20.0,-0.05897473120263384,0.9942
True,True,equal,20.0,0.002474421420327401,0.4237
True,True,equal,20.0,0.04972829771708571,0.2025
True,True,equal,20.0,-0.063649515721579,0.8332
True,True,equal,20.0,-0.004403054577892175,0.4655
True,True,equal,20.0,-0.07135499460211162,0.9805
True,True,equal,20.0,-0.001195570249647024,0.3844
True,True,equal,20.0,0.013272182531424823,0.2806
True,True,equal,20.0,0.3946644368873435,0.002
True,True,equal,20.0,-0.01923165828877704,0.4221
True,True,equal,20.0,-0.05299524223447727,0.66
True,True,equal,20.0,0.046325486188930794,0.1656
True,True,equal,20.0,-0.03619868544002944,0.6521
True,True,equal,20.0,-0.014259869462583527,0.416
True,True,equal,20.0,-0.04454690355488753,0.6659
True,True,equal,20.0,0.041943871193738054,0.2042
True,True,equal,20.0,0.06858571279792874,0.1635
True,True,equal,20.0,-0.08301057946142143,0.9344
True,True,equal,20.0,-0.057863756235784464,0.9085
True,True,equal,20.0,0.05005384420751387,0.1853
True,True,equal,20.0,0.014128765603607683,0.3754
True,True,equal,20.0,0.04151114440355576,0.1867
True,True,equal,20.0,-0.05299524223447762,0.8316
True,True,equal,20.0,-0.046301947195372485,0.7005
True,True,equal,20.0,-0.04993877482961162,0.7319
True,True,equal,20.0,-0.07748548896567682,0.9917
True,True,equal,20.0,0.01588321312496338,0.3312
True,True,equal,20.0,-0.02179004822276416,0.5509
True,True,equal,20.0,0.18719836448459032,0.038
True,True,equal,20.0,-0.06930525298192979,0.8965
True,True,equal,20.0,-0.022417490242155426,0.4881
True,True,equal,20.0,-0.07077504834419998,0.9873
True,True,equal,20.0,-0.05882138293019231,0.812
True,True,equal,20.0,0.15976385701167967,0.0531
True,True,equal,20.0,-0.052536049493184724,0.8351
True,True,equal,20.0,-0.06151246852292438,0.7438
True,True,equal,20.0,-0.03717281509138335,0.6496
True,True,equal,20.0,0.02385245389669482,0.2691
True,True,equal,20.0,-0.02420114265029978,0.529
True,True,equal,20.0,0.006352141164778271,0.2937
True,True,equal,20.0,-0.01451122232044924,0.4079
True,True,equal,20.0,-0.056022640254279846,0.7909
True,True,equal,20.0,-0.018031896828994153,0.5092
True,True,equal,20.0,0.030349398985432183,0.2489
True,True,same_mean,20.0,0.21636255458127593,0.0243
True,True,same_mean,20.0,-0.03207602517576193,0.6328
True,True,same_mean,20.0,0.021523163205357767,0.3016
True,True,same_mean,20.0,-0.09021745222664622,0.9556
True,True,same_mean,20.0,-0.06908234569451283,0.8784
True,True,same_mean,20.0,0.34407822043555314,0.0041
True,True,same_mean,20.0,0.01704025734460585,0.2503
True,True,same_mean,20.0,0.2142738457751441,0.0249
True,True,same_mean,20.0,-0.04021220308060381,0.5529
True,True,same_mean,20.0,0.11683989121146092,0.0851
True,True,same_mean,20.0,-0.017210657750783287,0.4347
True,True,same_mean,20.0,-0.01646686722918501,0.5031
True,True,same_mean,20.0,-0.02294629144847095,0.5068
True,True,same_mean,20.0,-0.002200327873281548,0.4471
True,True,same_mean,20.0,0.06510906566971038,0.136
True,True,same_mean,20.0,0.03271905343548019,0.211
True,True,same_mean,20.0,0.01479341018164624,0.3185
True,True,same_mean,20.0,-0.0021350420507344654,0.3391
True,True,same_mean,20.0,-0.07046962634370316,0.81
True,True,same_mean,20.0,0.00952402989819261,0.3079
True,True,same_mean,20.0,0.05255404451896038,0.1898
True,True,same_mean,20.0,-0.07221437777117021,0.891
True,True,same_mean,20.0,-0.07077088304920229,0.9726
True,True,same_mean,20.0,0.07834746137963161,0.1589
True,True,same_mean,20.0,-0.03817845771433324,0.6316
True,True,same_mean,20.0,0.03356410292085449,0.2106
True,True,same_mean,20.0,-0.0220722901712235,0.5039
True,True,same_mean,20.0,0.34905960861245766,0.0055
True,True,same_mean,20.0,0.3485391289921015,0.0052
True,True,same_mean,20.0,-0.004208894373965195,0.377
True,True,same_mean,20.0,0.14014160687715377,0.0477
True,True,same_mean,20.0,-0.07102286806100262,0.9099
