name,left_pval,left_rank,right_pval,right_rank,avg_rank
Corpus Callosum,4.47e-25,1,1.75e-23,2,1.5
Secondary Motor Cortex,7.73e-20,3,3.1e-16,7,5.0
Internal Capsule,1.6e-14,11,3.26e-16,8,9.5
Stria Terminalis,1.25e-13,18,2.59e-14,12,15.0
Fimbria,1.94e-19,5,3.58e-12,26,15.5
Ventral Tegmental Area,3.87e-12,27,8.76e-13,21,24.0
Hippocampus,8.02e-11,40,7.43e-14,15,27.5
Ectorhinal Cortex,8.11e-12,29,4.56e-11,37,33.0
Globus Pallidus,9.68e-11,41,1.89e-12,25,33.0
Cerebral Peduncle,4.64e-10,57,9.98e-15,10,33.5
