ROI,pvalue,holm_pvalue,significant
121,1.5327631548190154e-27,5.088773673999131e-25,True
287,3.304280436295909e-26,1.0937168244139459e-23,True
120,2.2019166085672783e-22,7.266324808272019e-20,True
20,2.4956539568168663e-22,8.21070151792749e-20,True
251,4.2089253881037397e-22,1.3805275272980267e-19,True
249,6.7254532817074385e-19,2.1992232231183324e-16,True
293,7.016916406797322e-19,2.287514748615927e-16,True
186,1.0458136653690258e-18,3.398894412449334e-16,True
299,1.3383336920717979e-17,4.336201162312625e-15,True
127,2.0771694354051197e-17,6.709257276358537e-15,True
64,2.214375833612785e-17,7.130290184233168e-15,True
148,5.424557726987613e-17,1.7412830303630237e-14,True
289,1.1204325840510547e-16,3.585384268963375e-14,True
313,1.2804840055888031e-16,4.084743977828282e-14,True
119,2.364197832591805e-16,7.51814910764194e-14,True
61,3.3058930693061764e-16,1.0479681029700579e-13,True
217,3.4160098856747532e-16,1.079459123873222e-13,True
123,3.531040112155586e-16,1.1122776353290096e-13,True
15,4.684334574741857e-16,1.470881056468943e-13,True
252,6.016652078293622e-16,1.8832121005059037e-13,True
326,8.576902888344908e-16,2.6759937011636114e-13,True
237,3.350994572514724e-15,1.0421593120520792e-12,True
314,3.4377537989444382e-15,1.065703677672776e-12,True
288,3.591923753985482e-15,1.1099044399815139e-12,True
229,3.634319140906894e-15,1.1193702953993233e-12,True
311,4.320513541624676e-15,1.3263976572787755e-12,True
185,4.8140379546069295e-15,1.4730956141097205e-12,True
286,5.6109092604286525e-15,1.711327324430739e-12,True
66,1.2732478780064175e-14,3.870673549139509e-12,True
71,1.3790737256762995e-14,4.178593388799187e-12,True
53,1.789512443844207e-14,5.404327580409505e-12,True
277,5.493823062954126e-14,1.653640741949192e-11,True
158,6.11757058736707e-14,1.8352711762101213e-11,True
210,6.159726352869735e-14,1.8417581795080507e-11,True
81,8.245588444921725e-14,2.457185356586674e-11,True
65,8.374660436906408e-14,2.4872741497612033e-11,True
132,8.460865822751567e-14,2.504416283534464e-11,True
239,8.815590249409979e-14,2.6005991235759437e-11,True
105,8.963504032908025e-14,2.6352701856749592e-11,True
9,1.7080523739861354e-13,5.0045934557793765e-11,True
228,1.813390023423895e-13,5.295098868397773e-11,True
300,2.1359028196246657e-13,6.215477205107777e-11,True
219,2.238712882973515e-13,6.492267360623194e-11,True
51,2.289545959807507e-13,6.616787823843695e-11,True
322,2.425390474941546e-13,6.985124567831652e-11,True
63,2.957082011385306e-13,8.486825372675828e-11,True
57,5.074231512517321e-13,1.451230212579954e-10,True
62,5.262638161882585e-13,1.4998518761365367e-10,True
176,5.500691600058618e-13,1.5621964144166474e-10,True
319,5.962259777278693e-13,1.68731951696987e-10,True
207,6.906398025089858e-13,1.9476042430753398e-10,True
72,6.93135674149213e-13,1.9477112443592885e-10,True
173,7.369350910026949e-13,2.0634182548075458e-10,True
221,8.951641252521943e-13,2.4975079094536223e-10,True
104,1.287445914445247e-12,3.579099642157787e-10,True
153,1.386800698372218e-12,3.8414379344910437e-10,True
261,1.5847318399011683e-12,4.3738598781272244e-10,True
175,1.6323443607844373e-12,4.4889469921572027e-10,True
38,1.6438610256829133e-12,4.5041792103711825e-10,True
178,1.6461671531559546e-12,4.5041792103711825e-10,True
232,1.7308718552803132e-12,4.707971446362452e-10,True
156,2.02127785910665e-12,5.477662998179021e-10,True
133,2.144538139891776e-12,5.790252977707795e-10,True
270,2.250767941961599e-12,6.054565763876702e-10,True
89,2.361563151551169e-12,6.328989246157133e-10,True
160,2.840862301442565e-12,7.585102344851648e-10,True
231,3.0373955086196584e-12,8.079472052928291e-10,True
124,3.4785882312764314e-12,9.218258812882544e-10,True
244,3.939066519052825e-12,1.0399135610299457e-09,True
79,3.952260248239168e-12,1.0399135610299457e-09,True
227,4.42233729228601e-12,1.1586523705789345e-09,True
208,4.4848200536660135e-12,1.1705380340068295e-09,True
247,4.666593008862617e-12,1.2133141823042804e-09,True
324,5.975868890148962e-12,1.5477500425485812e-09,True
327,6.399511933256422e-12,1.651074078780157e-09,True
54,6.676609264907663e-12,1.7158885810812692e-09,True
290,7.438884951887127e-12,1.9043545476831045e-09,True
181,7.864459579435295e-12,2.005437192756e-09,True
310,9.015237812126102e-12,2.28987040428003e-09,True
111,1.0256877705671358e-11,2.5949900595348534e-09,True
86,1.1397340898985421e-11,2.8721299065443263e-09,True
230,1.1495138360726496e-11,2.8852797285423506e-09,True
135,2.2259946756109588e-11,5.564986689027397e-09,True
155,2.685208313793911e-11,6.686168701346839e-09,True
