,ROI,pvalue,signal,bonferroni,holm,fdr_bh,fdr_by
1,1,0.668437484131405,False,1.0,1.0,0.8355468551642562,1.0
2,2,0.5303426137040216,False,1.0,1.0,0.706863149713636,1.0
3,3,0.48710328649156553,False,1.0,1.0,0.706863149713636,1.0
4,4,0.27163211507918933,False,1.0,1.0,0.4850573483556952,1.0
5,5,0.11519867669348945,False,1.0,1.0,0.2742825635559273,1.0
6,6,0.7722363356063224,False,1.0,1.0,0.8580403728959138,1.0
7,7,0.8736234484731593,False,1.0,1.0,0.9293866473118717,1.0
8,8,0.2394502141134847,False,1.0,1.0,0.46048118098747054,1.0
9,9,0.7718137193720835,False,1.0,1.0,0.8580403728959138,1.0
10,10,0.9734783630758103,False,1.0,1.0,0.9734783630758103,1.0
11,11,0.41296689013660137,False,1.0,1.0,0.6452607658384396,1.0
12,12,0.5273491618782928,False,1.0,1.0,0.706863149713636,1.0
13,13,0.1824869947112773,False,1.0,1.0,0.3863758260965994,1.0
14,14,0.026964471622881285,False,1.0,0.9167920351779637,0.0793072694790626,0.3568196902085286
15,15,0.33678342453097493,False,1.0,1.0,0.5569301661696745,1.0
16,16,0.6547815646361875,False,1.0,1.0,0.8355468551642562,1.0
17,17,0.07732833224139517,False,1.0,1.0,0.20349561116156623,0.9155685400647274
18,18,0.023986718402988057,False,1.0,0.839535144104582,0.07495849500933767,0.33725366089915154
19,19,0.7325917513062067,False,1.0,1.0,0.8580403728959138,1.0
20,20,0.7385000647877258,False,1.0,1.0,0.8580403728959138,1.0
21,21,0.9650712429029064,False,1.0,1.0,0.9734783630758103,1.0
22,22,0.21379190595170813,False,1.0,1.0,0.42758381190341627,1.0
23,23,0.003994590277966845,False,0.19972951389834226,0.17576197223054119,0.028532787699763175,0.1283748707361946
24,24,0.011758845223644322,False,0.5879422611822162,0.4703538089457729,0.053449296471110554,0.24047936001277265
25,25,0.9418875985568764,False,1.0,1.0,0.9734783630758103,1.0
26,26,0.3198479282705132,False,1.0,1.0,0.5514619452939884,1.0
27,27,0.7217653906591096,False,1.0,1.0,0.8580403728959138,1.0
28,28,0.142099425655447,False,1.0,1.0,0.3229532401260159,1.0
29,29,0.00519224786521608,False,0.259612393260804,0.22326665820429142,0.0324515491576005,0.14600618320693587
30,30,0.8099641006782499,False,1.0,1.0,0.8803957616067933,1.0
31,31,0.2525322849757576,False,1.0,1.0,0.4676523795847362,1.0
32,32,0.5372159937823633,False,1.0,1.0,0.706863149713636,1.0
33,33,0.34529670302519816,False,1.0,1.0,0.5569301661696745,1.0
34,34,0.1854603965263677,False,1.0,1.0,0.3863758260965994,1.0
35,35,0.5297930963001773,False,1.0,1.0,0.706863149713636,1.0
36,36,0.0005774745723664788,True,0.02887372861832394,0.026563830328858024,0.005774745723664787,0.025981766787407625
37,37,0.013963326940687776,True,0.6981663470343888,0.5445697506868232,0.05391902019686387,0.242592743507222
38,38,0.021454809296650012,True,1.0,0.7723731346794004,0.07151603098883337,0.3217653084010917
39,39,9.005834039035953e-05,True,0.004502917019517977,0.004322800338737258,0.0015009723398393257,0.0067531827640899
40,40,4.9169034328742976e-05,True,0.0024584517164371487,0.0024584517164371487,0.0015009723398393257,0.0067531827640899
41,41,0.00030361845522870723,True,0.015180922761435362,0.01427006739574924,0.0037952306903588405,0.01707552218225416
42,42,0.00974992196772563,True,0.4874960983862815,0.40949672264447645,0.05027896776617792,0.22621540017928074
43,43,0.04770863781375218,True,1.0,1.0,0.1325239939270894,0.5962526609334968
44,44,7.203123396478793e-05,True,0.0036015616982393965,0.0035295304642746087,0.0015009723398393257,0.0067531827640899
45,45,0.5152297505666463,True,1.0,1.0,0.706863149713636,1.0
46,46,0.016746221812926468,True,0.8373110906463234,0.6196102070782793,0.05980793504616595,0.2690881806341693
47,47,0.014018945251184608,True,0.7009472625592303,0.5445697506868232,0.05391902019686387,0.242592743507222
48,48,0.010055793553235584,True,0.5027896776617792,0.41228753568265897,0.05027896776617792,0.22621540017928074
49,49,0.0014319239402082395,True,0.07159619701041198,0.06443657730937077,0.01193269950173533,0.05368766529888845
50,50,0.08444832521298555,True,1.0,1.0,0.21112081303246386,0.9498758890281096
